Type,Diam_cm,Material,X,Y,Z
16,89.0,1,633838.2827779888,3475497.519105038,1.3182999999989988
14,78.0,1,633749.3759941221,3475505.526454026,0.8675999999977648
18,81.0,1,633741.9942455566,3475495.4119412974,0.03590000000258442
16,95.0,1,633764.1805380229,3475499.5830180356,1.382500000006985
16,96.0,1,633767.0193221105,3475497.4824223765,1.115300000004936
16,90.0,1,633803.3779281107,3475501.1657046895,2.103099999992992
14,59.0,1,633793.7798971643,3475492.2230759575,1.9661999999952968
14,79.0,1,633787.3624000174,3475482.0274452176,2.2630999999964843
14,78.0,1,633787.3628230164,3475480.046151354,0.7397999999957392
14,119.0,1,633779.7470204988,3475487.4419561853,-0.010500000003958121
14,78.0,1,633768.8715143369,3475481.4625434894,1.0292000000044936
18,84.0,1,633760.5129888541,3475479.390488749,0.08409999999275897
16,86.0,1,633743.8312519414,3475481.6635266133,-1.454199999992852
14,82.0,1,633741.9575536358,3475480.024604227,-1.278200000000652
14,53.0,1,633744.842975379,3475475.2076929915,-0.6462999999930616
18,88.0,1,633756.5916944344,3475477.353048134,-1.356100000004517
16,81.0,1,633757.1078056853,3475474.9496916826,-1.8221000000048662
14,63.0,1,633765.9293011639,3475473.531983514,-1.1569000000017695
16,58.0,1,633782.5475641766,3475479.7550017075,-1.0869999999995343
21,99.0,1,633793.6697454596,3475472.3314931514,-1.465700000000652
16,120.0,1,633802.8508702174,3475479.2324189376,-0.21719999999913853
16,86.0,1,633810.7591054108,3475481.0342176165,-0.9462000000057742
16,92.0,1,633826.2153657189,3475483.0697026076,-0.172099999996135
22,95.0,1,633898.4466942757,3475540.548256869,-0.6704000000027008
18,80.0,1,633882.733447069,3475524.5360451867,-0.5081000000063796
22,105.0,1,633912.7060943554,3475550.7998560346,-0.2768999999971129
22,94.0,1,633877.593181679,3475494.4485016773,0.7042999999976018
14,82.0,1,633941.9092053632,3475544.5579021447,-1.1897999999928288
23,145.0,1,633901.7221474051,3475500.7037499137,-0.4851000000053318
23,102.0,6,633874.1567221337,3475486.752308206,1.8144999999931315
18,90.0,1,633880.9289654491,3475482.3395139,1.9483999999938533
14,52.0,1,633911.9607089071,3475500.5819817414,0.15200000000186265
16,83.0,1,633910.1754588666,3475475.1712892517,1.1695000000036089
22,83.0,6,633904.5806482701,3475473.994832727,1.8554000000003725
14,68.0,1,633902.6161441111,3475475.5245944723,1.5353000000031898
14,67.0,1,633850.255896394,3475488.68406712,0.027300000001559965
14,42.0,1,633855.9111899748,3475483.8179191686,-0.24510000000009313
16,45.0,1,633872.3859617545,3475473.8322582874,-0.10400000000663567
14,51.0,1,633876.7281273436,3475474.7871160223,2.2203000000008615
14,86.0,1,633901.5086715895,3475491.8052776344,0.4541999999928521
14,76.0,1,633944.5921866469,3475498.102742524,-0.024300000004586764
22,57.0,1,633921.5364810205,3475471.8810272412,-0.6325999999971827
18,66.0,1,633917.5656019326,3475469.6688043643,0.45979999999690335
14,60.0,1,633875.6428511934,3475452.052355177,0.5192999999999302
18,69.0,1,633879.0881199018,3475448.933746513,0.4723999999987427
14,53.0,1,633909.3025588813,3475472.8118500183,1.071700000000419
22,0.0,1,633927.808651404,3475459.1682326957,0.610899999999674
14,60.0,1,633934.6505376651,3475461.148226698,0.28079999999317806
16,49.0,1,633940.013804699,3475455.5983515824,-0.22650000000430737
14,62.0,1,633903.461656332,3475444.6764127547,0.9557000000058906
16,67.0,1,633887.7797349016,3475439.708924195,1.9226000000053318
16,77.0,1,633912.2108814198,3475435.883983315,1.748200000001816
14,52.0,1,633930.4425695969,3475431.439711581,0.5822000000043772
14,56.0,1,633940.4159924188,3475440.407052582,0.9798000000009779
16,95.0,1,633748.897189893,3475586.522556284,-0.9235999999946216
14,86.0,1,633774.2189369635,3475586.092644095,-0.5252000000036787
16,68.0,1,633784.8879930698,3475586.678458822,-0.608699999997043
